Sensitivity,Precision,F1,Sample,Group
0.6771,0.937,0.7861,Ia2,deepr_b
0.7158,0.937,0.8116,Ia3,deepr_b
0.7325,0.938,0.8226,Ib1,deepr_b
0.6571,0.9282,0.7694,Ib2,deepr_b
0.6446,0.928,0.7608,Ib3,deepr_b
0.6124,0.9357,0.7403,IIa1,deepr_b
0.628,0.9374,0.7521,IIa2,deepr_b
0.6166,0.9387,0.7443,IIa3,deepr_b
0.6227,0.9676,0.7577,III1,deepr_b
0.6143,0.9662,0.7511,III2,deepr_b
0.6223,0.9667,0.7572,III3,deepr_b
0.7852,0.9458,0.858,Ia1,deepr_b
0.7373,0.947,0.8291,Ia2,deepr_f
0.7566,0.9452,0.8405,Ia3,deepr_f
0.7559,0.9451,0.84,Ib1,deepr_f
0.7245,0.943,0.8194,Ib2,deepr_f
0.7285,0.9431,0.822,Ib3,deepr_f
0.7124,0.9522,0.815,IIa1,deepr_f
0.718,0.9526,0.8188,IIa2,deepr_f
0.7068,0.9546,0.8122,IIa3,deepr_f
0.7254,0.9877,0.8364,III1,deepr_f
0.7191,0.9877,0.8323,III2,deepr_f
0.7312,0.9878,0.8404,III3,deepr_f
0.788,0.9514,0.8621,Ia1,deepr_f
0.8216,0.9434,0.8783,Ia2,deepr_t
0.8273,0.9424,0.8811,Ia3,deepr_t
0.8289,0.9435,0.8825,Ib1,deepr_t
0.7948,0.9323,0.8581,Ib2,deepr_t
0.7898,0.9307,0.8545,Ib3,deepr_t
0.7892,0.9407,0.8583,IIa1,deepr_t
0.7969,0.9422,0.8635,IIa2,deepr_t
0.7946,0.9438,0.8628,IIa3,deepr_t
0.8596,0.9729,0.9128,III1,deepr_t
0.8556,0.9723,0.9102,III2,deepr_t
0.8588,0.9719,0.9119,III3,deepr_t
0.8469,0.9499,0.8954,Ia1,deepr_t
0.6146,0.9532,0.7474,Ia2,sortme_b
0.6598,0.9543,0.7802,Ia3,sortme_b
0.6664,0.9542,0.7848,Ib1,sortme_b
0.5979,0.9536,0.735,Ib2,sortme_b
0.5958,0.9519,0.7329,Ib3,sortme_b
0.5551,0.9548,0.7021,IIa1,sortme_b
0.5684,0.9546,0.7125,IIa2,sortme_b
0.5526,0.9568,0.7006,IIa3,sortme_b
0.5405,0.9901,0.6992,III1,sortme_b
0.5322,0.9901,0.6922,III2,sortme_b
0.5439,0.9903,0.7021,III3,sortme_b
0.7016,0.9549,0.8089,Ia1,sortme_b
0.714,0.9546,0.817,Ia2,sortme_f
0.7362,0.9552,0.8315,Ia3,sortme_f
0.727,0.9549,0.8255,Ib1,sortme_f
0.6965,0.9544,0.8053,Ib2,sortme_f
0.7068,0.9515,0.8111,Ib3,sortme_f
0.6878,0.9567,0.8002,IIa1,sortme_f
0.693,0.9564,0.8037,IIa2,sortme_f
0.6807,0.9588,0.7961,IIa3,sortme_f
0.6972,0.9909,0.8185,III1,sortme_f
0.6922,0.9909,0.815,III2,sortme_f
0.7044,0.9911,0.8235,III3,sortme_f
0.7372,0.9551,0.8321,Ia1,sortme_f
0.7106,0.9553,0.815,Ia2,sortme_t
0.7326,0.9559,0.8295,Ia3,sortme_t
0.7238,0.9558,0.8238,Ib1,sortme_t
0.6919,0.9553,0.8025,Ib2,sortme_t
0.7015,0.9526,0.808,Ib3,sortme_t
0.6802,0.9569,0.7952,IIa1,sortme_t
0.6856,0.9567,0.7988,IIa2,sortme_t
0.6729,0.959,0.7909,IIa3,sortme_t
0.6941,0.9911,0.8164,III1,sortme_t
0.6892,0.9911,0.8131,III2,sortme_t
0.7013,0.9912,0.8215,III3,sortme_t
0.7332,0.9559,0.8299,Ia1,sortme_t
